Category,ITEMS,Price,Unit,location
TOPPINGS,Oreo Cookies,80.00,Pack of 27,BRANCHES
TOPPINGS,Biscoff Crushed,50.00,Pack of 20,BRANCHES
TOPPINGS,Oreo Crushed,50.00,Pack of 20,BRANCHES
TOPPINGS,Peanut,50.00,Pack of 20,BRANCHES
TOPPINGS,Colored Sprinkles,50.00,Pack of 20,BRANCHES
TOPPINGS,Choco Flakes,50.00,Pack of 20,BRANCHES
TOPPINGS,Marshmallow,25.00,Pack of 10,BRANCHES
TOPPINGS,Graham Crushed,50.00,Pack of 20,BRANCHES
TOPPINGS,Strawberry Jam,50.00,Pack of 10,BRANCHES
TOPPINGS,Mango Jam,70.00,Pack of 10,BRANCHES
TOPPINGS,Blueberry Jam,75.00,Pack of 10,BRANCHES
TOPPINGS,Matcha crumble,50.00,Pack of 20,BRANCHES
TOPPINGS,Chocolate crumble,50.00,Pack of 20,BRANCHES
BOXES,Rectangle,65.00,Packs of 25,BRANCHES
BOXES,Take -out box w/ cover,140.00,Packs of 25,BRANCHES
BOXES,Mini Take Out Box,60.00,Packs of 25,BRANCHES
BOXES,Overload Cup,200.00,Pack of 50,BRANCHES
MISCELLANEOUS,Chopstick,60.00,Pack of 100 pcs,BRANCHES
MISCELLANEOUS,Popsicle stick,15.00,Pack of 50pcs,BRANCHES
MISCELLANEOUS,Piping bag,45.00,Pack of 50pcs,BRANCHES
MISCELLANEOUS,Mini Spoon,25.00,Pack of 50pcs,BRANCHES
MISCELLANEOUS,Wax Paper,70.00,Packs of 100,BRANCHES
MISCELLANEOUS,Wax Paper for Glaze,90.00,Packs of 100,BRANCHES
MISCELLANEOUS,XL Clear Binbag,65.00,10pcs/roll,BRANCHES
MISCELLANEOUS,Medium Clear Binbag (10pcs/roll),55.00,10pcs/roll,BRANCHES
MISCELLANEOUS,Paper Bag #06,91.00,Per pack,BRANCHES
MISCELLANEOUS,Paper Bag #20,103.00,Per pack,BRANCHES
MISCELLANEOUS,Tiny Take-out Plastic,53.00,Per pack,BRANCHES
MISCELLANEOUS,Medium Take-out Plastic,105.00,Per pack,BRANCHES
MISCELLANEOUS,MEDIUM BLACK BAG,48.00,Per pack,BRANCHES
MISCELLANEOUS,EXTRA LARGE BLACK BAG,60.00,Per pack,BRANCHES
MISCELLANEOUS,Thermal Paper,15.00,Per piece,BRANCHES
MISCELLANEOUS,Stirrer,137.00,Pack of 100 pcs,BRANCHES
Others,Coke,137.00,Per Case,BRANCHES
Others,Sprite,137.00,Per Case,BRANCHES
Others,Bottled Water,235.00,Per Case,BRANCHES
Others,Mineral Water,30.00,Per Gal,BRANCHES
Others,Sponge,5.00,Per piece,BRANCHES
Others,Detergent Powder,5.00,Per piece,BRANCHES
Others,Gloves,25.00,Per pack,BRANCHES
Others,Plastic Portion for Sales,20.00,Per roll,BRANCHES
Coffee Items,Delonghi Coffee Machine,59000.00,1pc,BRANCHES
Coffee Items,Blender,4500.00,1pc,BRANCHES
Coffee Items,Pitcher,1200.00,1pc,BRANCHES
Coffee Items,Double Wall Coffee Cups with Lid,700.00,Pack of 100,BRANCHES
Coffee Items,Plastic Cups 16oz with Lid,450.00,Pack of 100,BRANCHES
Coffee Items,Double Take-out Plastic for Coffee,86.00,Packs of 100,BRANCHES
Coffee Items,Single Take-out Plastic for Coffee,61.00,Packs of 100,BRANCHES
Coffee Items,Brown Sugar Sachet,85.00,Packs of 100,BRANCHES
Coffee Items,White Sugar Sachet,85.00,Packs of 100,BRANCHES
Coffee Items,Creamer Sachet,90.00,Packs of 100,BRANCHES
Coffee Items,Vanilla Syrup,450.00,1 liter,BRANCHES
Coffee Items,Strawberry Syrup,450.00,1 liter,BRANCHES
Coffee Items,Chocolate Sauce,700.00,2 liters,BRANCHES
Coffee Items,Caramel Sauce,700.00,2 liters,BRANCHES
Coffee Items,Matcha Powder,225.00,250g,BRANCHES
Coffee Items,Cream Frappe,130.00,500g,BRANCHES
Coffee Items,Coffee Beans,1040.00,1kg,BRANCHES
Coffee Items,Bending Straw,50.00,Pack of 100,BRANCHES
Coffee Items,Conaprole,85.00,1 liter,BRANCHES
Coffee Items,Monalisa,200.00,1 liter,BRANCHES
Coffee Items,Iced Tea Powder,200.00,200g,BRANCHES
Coffee Items,Lemonade Powder,500.00,280g,BRANCHES
